User_Id,Name,catagory,Veg_Non,Review,Nutrient,Disease,Diet
User_14,bok choy salad r,salad,veg,1,fiber, rickets diabeties kidney_disease goitre, high_fiber_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet
User_57,millet curd rice r,rice,veg,2,carbohydrates, heart_disease goitre rickets diabeties kidney_disease, ketogenic_diet high_protien_diet vegan_diet
User_100,methi turmeric tea r,tea,veg,10,manganese, heart_disease, ketogenic_diet
User_50,tricolor veggie delight salad r,salad,veg,1,fiber, goitre rickets hypertension kidney_disease diabeties, ketogenic_diet high_protien_diet low_fat_diet high_fiber_diet
User_43,non fried masala banana chips r,banana,veg,10,selenium, hypertension cancer, ketogenic_diet vegan_diet alkaline_diet high_fiber_diet
User_24,green moong cutlet r,moong,veg,10,iron, heart_disease goitre scurvy hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_fiber_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet
User_74,no-oil vegetable pulao r,pulao,veg,7,carbohydrates, scurvy heart_disease kidney_disease, high_fiber_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet
User_73,apple oats chia seeds smoothie r,smoothie,veg,4,magnesium, obesity heart_disease goitre hypertension diabeties anemia cancer pregnancy, ketogenic_diet high_protien_diet vegan_diet high_fiber_diet
User_72,warm cucumber lemon salad r,salad,veg,10,fiber, goitre rickets scurvy diabeties kidney_disease, alkaline_diet high_fiber_diet high_protien_diet ketogenic_diet low_fat_diet
User_26,turmeric milk tea r,tea,veg,9,vitamin_d, rickets heart_disease cancer kidney_disease, ketogenic_diet high_protien_diet low_fat_diet
User_11,persian roasted egg plant salad r,salad,non-veg,6,fiber, obesity heart_disease goitre eye_disease rickets scurvy hypertension kidney_disease diabeties anemia pregnancy, alkaline_diet high_fiber_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet
User_47,indian style kachumber salad r,salad,veg,8,fiber, rickets diabeties kidney_disease goitre, ketogenic_diet high_protien_diet low_fat_diet high_fiber_diet
