User_Id,Name,catagory,Veg_Non,Review,Nutrient,Disease,Diet
User_User_73,bok choy salad r,salad,veg,9,fiber, goitre diabeties kidney_disease, ketogenic_diet high_fiber_diet high_protien_diet low_fat_diet vegan_diet
User_User_98,millet curd rice r,rice,veg,2,carbohydrates, diabeties goitre heart_disease kidney_disease rickets, high_protien_diet ketogenic_diet vegan_diet
User_User_55,methi turmeric tea r,tea,veg,2,manganese, heart_disease, ketogenic_diet
User_User_86,tricolor veggie delight salad r,salad,veg,5,fiber, goitre diabeties kidney_disease hypertension, high_protien_diet low_fat_diet ketogenic_diet high_fiber_diet
User_User_60,non fried masala banana chips r,banana,veg,9,selenium, cancer hypertension, ketogenic_diet high_fiber_diet alkaline_diet vegan_diet
User_User_100,green moong cutlet r,moong,veg,5,iron, pregnancy diabeties goitre hypertension heart_disease anemia kidney_disease scurvy, ketogenic_diet high_fiber_diet high_protien_diet low_fat_diet alkaline_diet vegan_diet
User_User_59,no-oil vegetable pulao r,pulao,veg,10,carbohydrates, heart_disease kidney_disease scurvy, ketogenic_diet high_fiber_diet high_protien_diet low_fat_diet vegan_diet
User_User_30,apple oats chia seeds smoothie r,smoothie,veg,9,magnesium, pregnancy diabeties goitre hypertension obesity heart_disease anemia cancer, high_protien_diet high_fiber_diet ketogenic_diet vegan_diet
User_User_79,warm cucumber lemon salad r,salad,veg,10,fiber, goitre diabeties kidney_disease scurvy, ketogenic_diet high_fiber_diet high_protien_diet low_fat_diet alkaline_diet
User_User_13,turmeric milk tea r,tea,veg,1,vitamin_d, cancer heart_disease kidney_disease rickets, high_protien_diet low_fat_diet ketogenic_diet
User_User_11,banana kheer r,kheer,veg,1,selenium, hypertension, ketogenic_diet high_fiber_diet alkaline_diet vegan_diet
User_User_28,persian roasted egg plant salad r,salad,non-veg,4,fiber, pregnancy diabeties goitre hypertension obesity heart_disease anemia kidney_disease scurvy eye_disease rickets, ketogenic_diet high_fiber_diet high_protien_diet low_fat_diet alkaline_diet vegan_diet
User_User_76,indian style kachumber salad r,salad,veg,8,fiber, goitre diabeties kidney_disease, high_protien_diet low_fat_diet ketogenic_diet high_fiber_diet
User_User_56,konkani fried chicken r,chicken,non-veg,10,iron, pregnancy diabeties goitre hypertension obesity anemia kidney_disease cancer rickets, ketogenic_diet high_protien_diet low_fat_diet alkaline_diet vegan_diet
