Meal_Id,Name,catagory,Veg_Non,Nutrient,Disease,Diet,Review
meal_id1,bok choy salad r,salad,veg,fiber, rickets diabeties kidney_disease goitre, high_fiber_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,1
meal_id2,millet curd rice r,rice,veg,carbohydrates, heart_disease goitre rickets diabeties kidney_disease, ketogenic_diet high_protien_diet vegan_diet,2
meal_id3,methi turmeric tea r,tea,veg,manganese, heart_disease, ketogenic_diet,10
meal_id4,tricolor veggie delight salad r,salad,veg,fiber, goitre rickets hypertension kidney_disease diabeties, ketogenic_diet high_protien_diet low_fat_diet high_fiber_diet,1
meal_id5,non fried masala banana chips r,banana,veg,selenium, hypertension cancer, ketogenic_diet vegan_diet alkaline_diet high_fiber_diet,10
meal_id6,green moong cutlet r,moong,veg,iron, heart_disease goitre scurvy hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_fiber_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,10
meal_id7,no-oil vegetable pulao r,pulao,veg,carbohydrates, scurvy heart_disease kidney_disease, high_fiber_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,7
meal_id8,apple oats chia seeds smoothie r,smoothie,veg,magnesium, obesity heart_disease goitre hypertension diabeties anemia cancer pregnancy, ketogenic_diet high_protien_diet vegan_diet high_fiber_diet,4
meal_id9,warm cucumber lemon salad r,salad,veg,fiber, goitre rickets scurvy diabeties kidney_disease, alkaline_diet high_fiber_diet high_protien_diet ketogenic_diet low_fat_diet,10
meal_id10,turmeric milk tea r,tea,veg,vitamin_d, rickets heart_disease cancer kidney_disease, ketogenic_diet high_protien_diet low_fat_diet,9
meal_id11,banana kheer r,kheer,veg,selenium, hypertension, ketogenic_diet vegan_diet alkaline_diet high_fiber_diet,5
meal_id12,persian roasted egg plant salad r,salad,non-veg,fiber, obesity heart_disease goitre eye_disease rickets scurvy hypertension kidney_disease diabeties anemia pregnancy, alkaline_diet high_fiber_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,6
meal_id13,indian style kachumber salad r,salad,veg,fiber, rickets diabeties kidney_disease goitre, ketogenic_diet high_protien_diet low_fat_diet high_fiber_diet,8
meal_id14,konkani fried chicken r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia cancer pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,7
meal_id15,cheesy tandoori chicken wrap r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,4
meal_id16,peri peri chicken rolls r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,1
meal_id17,veg fish fry r,fish,non-veg,vitamin_a, obesity heart_disease goitre rickets hypertension kidney_disease diabeties anemia cancer pregnancy, ketogenic_diet vegan_diet alkaline_diet low_fat_diet,4
meal_id18,eggless banana pancake r,banana,veg,selenium, hypertension, ketogenic_diet vegan_diet alkaline_diet high_fiber_diet,6
meal_id19,paneer schezwan bread roll r,paneer,veg,phosphorus, scurvy heart_disease, vegan_diet high_fiber_diet,1
meal_id20,samak rice chilla r,rice,veg,carbohydrates, heart_disease goitre rickets diabeties kidney_disease, ketogenic_diet high_protien_diet vegan_diet,8
meal_id21,crunchy aloo veggie toast r,aloo,veg,carbohydrates, hypertension obesity goitre kidney_disease, high_protien_diet vegan_diet,4
meal_id22,spinach and cottage cheese cannelloni r,cheese,veg,vitamin_c, obesity goitre scurvy hypertension anemia pregnancy, alkaline_diet high_fiber_diet high_protien_diet ketogenic_diet low_fat_diet,4
meal_id23,sesame garlic egg tempura r,egg,non-veg,vitamin_a, obesity heart_disease goitre eye_disease rickets hypertension kidney_disease diabeties cancer pregnancy, ketogenic_diet high_protien_diet alkaline_diet low_fat_diet,6
meal_id24,tandoori chicken puffs r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,7
meal_id25,cheesy paneer cigar roll r,paneer,veg,phosphorus, obesity, vegan_diet,6
meal_id26,cheesy egg bite r,egg,non-veg,vitamin_a, obesity eye_disease goitre rickets hypertension diabeties kidney_disease pregnancy, ketogenic_diet high_protien_diet low_fat_diet,3
meal_id27,chicken schezwan spring rolls r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,1
meal_id28,air fryer aloo corn cutlet r,corn,veg,carbohydrates, diabeties, high_protien_diet vegan_diet,6
meal_id29,tandoori chicken kathi roll r,chicken,non-veg,iron, obesity goitre rickets hypertension diabeties kidney_disease anemia pregnancy, alkaline_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,8
meal_id2,millet curd rice r,rice,veg,carbohydrates, heart_disease goitre rickets diabeties kidney_disease, ketogenic_diet high_protien_diet vegan_diet,2
meal_id17,veg fish fry r,fish,non-veg,vitamin_a, obesity heart_disease goitre rickets hypertension kidney_disease diabeties anemia cancer pregnancy, ketogenic_diet vegan_diet alkaline_diet low_fat_diet,4
meal_id30,green garlic chutney r,chutney,veg,iron, heart_disease goitre scurvy hypertension diabeties kidney_disease anemia cancer pregnancy, alkaline_diet high_fiber_diet high_protien_diet ketogenic_diet vegan_diet low_fat_diet,8
meal_id31,taco salad r,salad,veg,fiber, goitre rickets diabeties kidney_disease pregnancy, ketogenic_diet high_protien_diet low_fat_diet high_fiber_diet,5
